mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error,data,,,,,,,,,
0.1,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,463.7156398,632.326,25.14609314,0.733349,0.0521308,37.77126285,1.081453502,255.055631,794.123,28.18018808,0.321179,0.0135061,14.03406436,1.055023543,607.235,607.235,24.64213871,1.2091,0.137436,88.61504499,1.145932044,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7245,8.92885771,1,0,8.92885771,1.111996409,2094.37,,230.54,0.414632,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3423,,,,,,,,,
0.11,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,463.5824211,631.477,25.12920612,0.734124,0.0521964,37.77225222,1.081479043,255.0328749,793.847,28.17529059,0.321262,0.0135099,14.03401471,1.055028257,607.204,607.204,24.64150969,1.19302,0.136373,87.8698092,1.144712171,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7011,8.927547256,1,0,8.927547256,1.112012849,2094.37,,230.54,0.415269,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3418,,,,,,,,,
0.12,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,462.7776401,631.412,25.12791277,0.732925,0.0521574,37.73262727,1.081535113,253.9655234,792.283,28.14752209,0.320549,0.0135002,13.99329698,1.055099199,606.679,606.679,24.63085463,1.19936,0.137149,88.29398486,1.145536577,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.6815,8.926449462,1,0,8.926449462,1.112026624,2094.37,,230.54,0.415787,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3413,,,,,,,,,
0.13,793.177,0,23.66765989,25.9164,5.090815259,0.913231,0.0404837,4.766009239,1.201372221,460.0584691,630.662,25.11298469,0.729485,0.0520009,37.56484029,1.081652318,253.5383869,790.874,28.12248211,0.32058,0.0135017,13.97505221,1.055120064,605.804,605.804,24.61308595,1.20632,0.138455,88.97670266,1.146873746,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.6467,8.924499986,1,0,8.924499986,1.112051095,2094.79,,230.519,0.41653,230.519,230.519,1.110043966,72.7025,8.526576101,1,0,8.526576101,1.11728037,3409,,,,,,,,,
0.14,793.177,0,23.66765989,25.9164,5.090815259,0.913231,0.0404837,4.766009239,1.201372221,458.8111671,630.223,25.10424267,0.728014,0.0520278,37.53860805,1.081817119,252.8557524,790.441,28.11478259,0.319892,0.0134939,13.95180634,1.055176939,605.385,605.385,24.60457275,1.19686,0.139145,89.23537259,1.147402682,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.6393,8.924085387,1,0,8.924085387,1.112056301,2094.79,,230.519,0.41749,230.519,230.519,1.110043966,72.7025,8.526576101,1,0,8.526576101,1.11728037,3403,,,,,,,,,
0.15,793.177,0,23.66765989,25.9164,5.090815259,0.913231,0.0404837,4.766009239,1.201372221,458.3765011,628.57,25.07129833,0.729237,0.0521318,37.5238424,1.081862491,251.6702262,788.878,28.08697207,0.319023,0.0134857,13.9092705,1.055267843,604.269,604.269,24.58188357,1.17617,0.137941,88.22546195,1.146003621,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.6187,8.922931133,1,0,8.922931133,1.112070797,2094.79,,230.519,0.41827,230.519,230.519,1.110043966,72.7025,8.526576101,1,0,8.526576101,1.11728037,3394,,,,,,,,,
0.16,793.177,0,23.66765989,25.9164,5.090815259,0.913231,0.0404837,4.766009239,1.201372221,458.6922807,627.711,25.05416133,0.730738,0.0522596,37.56702578,1.081900279,251.2871476,786.814,28.05020499,0.319373,0.0135095,13.90107296,1.055319475,603.96,603.96,24.57559765,1.15644,0.137795,87.94157439,1.145608276,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.6151,8.922729403,1,0,8.922729403,1.11207333,2094.79,,230.519,0.41887,230.519,230.519,1.110043966,72.7025,8.526576101,1,0,8.526576101,1.11728037,3383,,,,,,,,,
0.17,792.72,0,23.66931854,25.9164,5.090815259,0.913295,0.0404832,4.766324206,1.201371417,457.3923434,627.088,25.04172518,0.729391,0.0522894,37.53405898,1.082060969,249.858962,784.489,28.00873078,0.318499,0.0135002,13.84716552,1.055419927,602.204,602.204,24.53984515,1.16038,0.138011,87.85361586,1.145886802,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.5628,8.919798204,1,0,8.919798204,1.11211016,2094.93,,230.512,0.419631,230.512,230.512,1.110033271,72.7025,8.526576101,1,0,8.526576101,1.11728037,3376,,,,,,,,,
0.18,792.535,0,23.66931854,25.9164,5.090815259,0.913295,0.0404832,4.766324206,1.201371417,454.8312862,626.297,25.02592656,0.726223,0.0522462,37.43012898,1.082294535,249.4750424,782.851,27.97947462,0.318675,0.0135028,13.82898207,1.055432327,601.36,601.36,24.5226426,1.13704,0.137562,87.29708748,1.145166103,3.54018,1.881536606,1,0,1.881536606,1.531480491,79.4931,8.915890309,1,0,8.915890309,1.112159298,2094.93,,230.512,0.421152,230.512,230.512,1.110033271,72.7025,8.526576101,1,0,8.526576101,1.11728037,3366,,,,,,,,,
0.19,792.405,0,23.66931854,25.9164,5.090815259,0.913295,0.0404832,4.766324206,1.201371417,455.0618296,624.278,24.98555583,0.728941,0.0526277,37.56486735,1.082548931,247.8626823,781.699,27.95888052,0.317082,0.0134867,13.77453965,1.05557327,600,600,24.49489743,1.12249,0.137741,87.09833632,1.145163894,3.42452,1.850545865,1,0,1.850545865,1.540381094,79.3733,8.909169434,1,0,8.909169434,1.112243909,2094.93,,230.512,0.422244,230.512,230.512,1.110033271,72.7025,8.526576101,1,0,8.526576101,1.11728037,3358,,,,,,,,,
0.2,792.405,0,23.66931854,25.9164,5.090815259,0.913295,0.0404832,4.766324206,1.201371417,453.2040732,622.788,24.95572079,0.727702,0.0526754,37.49673802,1.082736984,246.3987804,779.41,27.91791539,0.316135,0.0134984,13.73252553,1.055732928,597.937,597.937,24.45275036,1.10526,0.137525,86.55878942,1.14476239,3.42452,1.850545865,1,0,1.850545865,1.540381094,78.1464,8.840045249,1,0,8.840045249,1.113121593,2094.93,,230.512,0.4239,230.512,230.512,1.110033271,72.7025,8.526576101,1,0,8.526576101,1.11728037,3347,,,,,,,,,
0.21,792.351,0,23.66931854,25.9164,5.090815259,0.913295,0.0404832,4.766324206,1.201371417,447.6590442,621.331,24.92651199,0.720484,0.0525302,37.25335033,1.083218134,244.9615842,778.365,27.89919354,0.314713,0.0134968,13.69148626,1.055892381,596.909,596.909,24.43172118,1.10394,0.13836,86.88081083,1.145551183,3.42452,1.850545865,1,0,1.850545865,1.540381094,77.9002,8.826108995,1,0,8.826108995,1.11330021,2094.93,,230.512,0.425551,230.512,230.512,1.110033271,72.7025,8.526576101,1,0,8.526576101,1.11728037,3333,,,,,,,,,
0.22,791.138,0,23.66931854,25.9164,5.090815259,0.913295,0.0404832,4.766324206,1.201371417,444.4087896,618.129,24.86220022,0.718958,0.0525942,37.10001848,1.083481739,244.1661823,776.778,27.87073734,0.314332,0.0135197,13.6761531,1.05601166,593.956,593.956,24.37121253,1.09402,0.139695,87.15136321,1.146730336,3.42452,1.850545865,1,0,1.850545865,1.540381094,77.754,8.817822861,1,0,8.817822861,1.113406678,2094.93,,230.512,0.427375,230.512,230.512,1.110033271,72.6994,8.526394314,1,0,8.526394314,1.11728287,3316,,,,,,,,,
0.23,791.138,0,23.689637,25.9164,5.090815259,0.914079,0.0404758,4.770175413,1.201361271,437.3014213,616.501,24.82943817,0.709328,0.0523255,36.75344007,1.084046011,241.9823759,772.285,27.79001619,0.313333,0.013521,13.59624196,1.05618691,591.763,591.763,24.32617931,1.08139,0.139575,86.6833157,1.146483163,3.42452,1.850545865,1,0,1.850545865,1.540381094,77.6886,8.814113682,1,0,8.814113682,1.113454402,2096.73,,230.421,0.429278,230.421,230.421,1.109895409,72.6695,8.524640755,1,0,8.524640755,1.117306996,3293,,,,,,,,,
0.24,790.31,0,23.689637,25.9164,5.090815259,0.914079,0.0404758,4.770175413,1.201361271,430.5738246,613.624,24.77143516,0.70169,0.0521348,36.40829513,1.084557614,239.6535154,769.709,27.7436299,0.311356,0.0135113,13.5193476,1.056412056,589.192,589.192,24.27327749,1.04395,0.137452,84.85747175,1.144023462,3.01065,1.735122474,1,0,1.735122474,1.576328193,77.5181,8.804436382,1,0,8.804436382,1.113579105,2096.73,,230.421,0.431841,230.421,230.421,1.109895409,72.6695,8.524640755,1,0,8.524640755,1.117306996,3271,,,,,,,,,
0.25,789.287,0,23.68994799,25.9164,5.090815259,0.914091,0.0404757,4.770234437,1.201361119,421.4186177,610.183,24.70188252,0.690643,0.0518342,35.93608484,1.08527408,238.4005108,768.08,27.71425626,0.310385,0.013549,13.5016917,1.056634491,588.132,588.132,24.25143295,1.03012,0.137704,84.75359379,1.144106415,3.01065,1.735122474,1,0,1.735122474,1.576328193,77.4056,8.798045237,1,0,8.798045237,1.113661612,2096.76,,230.419,0.434449,230.419,230.419,1.109892882,72.3287,8.504628152,1,0,8.504628152,1.117583036,3258,,,,,,,,,
0.26,787.588,0,23.16389691,25.9164,5.090815259,0.893793,0.0399787,4.666609086,1.20146045,416.6458322,606.61,24.62945391,0.686843,0.0518877,35.73350702,1.085764705,237.3054346,764.611,27.65160032,0.310361,0.013539,13.44677176,1.056664407,583.975,583.975,24.16557469,1.00535,0.13701,83.61762204,1.143186989,3.01065,1.735122474,1,0,1.735122474,1.576328193,77.2755,8.79064844,1,0,8.79064844,1.113757251,2050.2,,228.054,0.427385,228.054,228.054,1.111235001,72.3287,8.504628152,1,0,8.504628152,1.117583036,3242,,,,,,,,,
0.27,787.118,0,23.1675252,25.9164,5.090815259,0.893933,0.0399774,4.667296535,1.201458572,415.9968535,602.57,24.54730128,0.690371,0.052501,35.88869973,1.086271565,237.8513603,762.327,27.61026983,0.312007,0.0136326,13.49871572,1.056752737,578.622,578.622,24.05456298,0.975413,0.136239,82.2485665,1.142145592,3.0066,1.733955017,1,0,1.733955017,1.57671623,77.112,8.781343861,1,0,8.781343861,1.113877786,2050.52,,228.037,0.429832,228.037,228.037,1.111209352,71.9591,8.482870976,1,0,8.482870976,1.117884617,3218,,,,,,,,,
