MC weights file
mva_cut value,signal count,error,zll count,error,mc weight,error, enu count, error, mc weight,error,munu count,error, mc weight,error,taunu count, error,mc weight,error,top count,error,mc weight,error,VV count, error, mc weight, error,znunu count,error,mc weight,error,qcd count,error, mc weight, error
output>0.25,623.256,0,4.12316,,0.314167,0.0526869,174.723,,0.556163,0.0904845,131.142,,0.327478,0.0162535,252.525,,0.816868,0.403273,0.771106,,1,0,27.8477,,1,0,194.299,,0.31589,0.297734,31.4945,,1,0
output>0.26,611.561,0,4.22944,,0.328275,0.057894,165.353,,0.546404,0.0923831,125.281,,0.330138,0.016708,254.181,,0.866418,0.42379,0.771106,,1,0,26.1306,,1,0,168.388,,0.288517,0.327159,29.5628,,1,0
output>0.27,595.976,0,4.00215,,0.326142,0.0589802,157.098,,0.556606,0.0969012,113.038,,0.317725,0.0166466,254.24,,0.904893,0.440747,0.724585,,1,0,25.547,,1,0,151.483,,0.27471,0.333297,26.4946,,1,0
output>0.28,576.977,0,3.64152,,0.324701,0.0594723,155.309,,0.588228,0.107245,105.264,,0.316507,0.0171957,152.266,,0.573897,0.358291,0.724585,,1,0,23.8037,,1,0,141.041,,0.267853,0.336078,24.736,,1,0
output>0.29,563.188,0,3.16946,,0.301728,0.0580349,151.659,,0.625764,0.121212,97.1113,,0.309146,0.0172428,201.803,,0.816451,0.585088,0.724585,,1,0,21.3666,,1,0,118.685,,0.240675,0.327955,24.381,,1,0
output>0.3,549.337,0,3.16298,,0.316121,0.0627333,125.704,,0.55974,0.117936,91.2236,,0.306183,0.0175637,163.995,,0.725125,0.580406,0.674361,,1,0,20.1424,,1,0,103.599,,0.227483,0.354506,22.7826,,1,0
output>0.31,527.63,0,2.63255,,0.279188,0.0596608,120.023,,0.568912,0.12545,84.2715,,0.302266,0.0179427,161.26,,0.765955,0.60261,0.674361,,1,0,18.6808,,1,0,80.6004,,0.193436,0.337143,19.6121,,1,0
output>0.32,507.075,0,2.32006,,0.268405,0.0608017,109.538,,0.569117,0.131283,80.7324,,0.312158,0.0186849,132.552,,0.66885,0.612361,0.674361,,1,0,16.7771,,1,0,65.3881,,0.17257,0.343591,17.6797,,1,0
output>0.33,475.891,0,1.9224,,0.24245,0.0576009,99.2477,,0.563476,0.141373,74.6817,,0.310575,0.0190257,130.828,,0.712769,0.624307,0.434254,,1,0,15.8305,,1,0,53.9479,,0.153448,0.325503,16.1959,,1,0
output>0.34,450.058,0,1.82405,,0.239589,0.0583069,87.8564,,0.543458,0.147426,68.4389,,0.309719,0.0199719,146.341,,0.899647,0.806384,0.434254,,1,0,13.3725,,1,0,47.8219,,0.146493,0.329492,15.104,,1,0
output>0.35,430.513,0,1.60938,,0.234591,0.0611064,87.6676,,0.598398,0.164628,61.1071,,0.303478,0.0206861,174.728,,1.14263,1.05771,0.434254,,1,0,10.4036,,1,0,38.2255,,0.126895,0.345312,14.404,,1,0
output>0.36,410.174,0,1.33117,,0.229215,0.0614438,91.5294,,0.70853,0.190847,54.431,,0.293621,0.0211116,180.642,,1.24848,1.1518,0.434254,,1,0,8.93093,,1,0,33.9708,,0.119939,0.347219,12.9007,,1,0
output>0.37,392.116,0,1.10749,,0.210725,0.062308,91.4293,,0.747953,0.217553,50.859,,0.293051,0.0221949,87.7938,,0.68006,0.851226,0.434254,,1,0,7.64464,,1,0,25.6885,,0.0990736,0.352102,9.02103,,1,0
output>0.38,368.833,0,0.920051,,0.185157,0.0583464,69.8303,,0.607665,0.194374,45.2415,,0.282081,0.0224449,39.3417,,0.336701,0.685995,0.434254,,1,0,7.49315,,1,0,20.808,,0.0859308,0.329715,7.26364,,1,0
output>0.39,352.439,0,0.863623,,0.185956,0.0613659,81.1377,,0.764582,0.231184,42.9503,,0.300332,0.0246661,-5.20734,,-0.0477879,0.562431,0.434254,,1,0,6.99012,,1,0,17.2606,,0.0789755,0.346779,6.38323,,1,0
output>0.4,334.364,0,0.774622,,0.191845,0.0661709,78.803,,0.776204,0.241846,40.1693,,0.31128,0.0270343,-6.16086,,-0.0600988,0.649481,0.434254,,1,0,6.87353,,1,0,14.9349,,0.0724409,0.373932,6.14277,,1,0
output>0.41,314.853,0,0.659328,,0.179368,0.0651665,64.327,,0.706271,0.23481,40.3871,,0.326984,0.0292562,20.6564,,0.214296,0.727608,0.434254,,1,0,6.07222,,1,0,11.9605,,0.0654856,0.368256,5.84038,,1,0
output>0.42,293.571,0,0.692385,,0.188361,0.0685973,61.8479,,0.736059,0.261908,39.2103,,0.367457,0.0320921,-30.7411,,-0.354578,0.527668,0.434254,,1,0,5.85331,,1,0,10.8179,,0.0654856,0.387643,5.54601,,1,0
output>0.43,277.14,0,0.678287,,0.196608,0.0752296,54.5638,,0.733727,0.27101,36.2856,,0.376778,0.03444,-30.5297,,-0.372374,0.559072,0.434254,,1,0,5.55189,,1,0,9.19849,,0.0591743,0.425123,5.54601,,1,0
output>0.44,261.364,0,0.651788,,0.204357,0.0783555,44.6429,,0.669913,0.26354,33.7496,,0.375079,0.0359365,-28.0631,,-0.371117,0.557873,0.434254,,1,0,3.12874,,1,0,8.51036,,0.0591743,0.442787,5.54601,,1,0
